"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","main_cue","condition","cue_guess","view_history","rt","stimulus","response","test_trial","correct_choice","prompt_label","choices","suffix","gender","view","is_fixation","attention_check","correct","typed_response","expected_label","task","correct_response"
"true","false","[]","[]","[]","preload","0","26","0.0-0.0","view","long","none","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","3798","0.0-1.0","view","long","none","[{""page_index"":0,""viewing_time"":3771}]","3771","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","13913","0.0-2.0","view","long","none","[{""page_index"":0,""viewing_time"":10113}]","10113","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","20504","0.0-3.0-0.0","view","long","none","","6589","
          <style>
            .quote-box {
              border: 2px solid #ccc;
              padding: 16px;
              margin: 20px auto;
              border-radius: 8px;
              background-color: #ffffff;
              text-align: center;
            }
            .stimuli-image {
              display: block;
              margin: 10px auto;
              max-height: 150px;
            }
            .button-spacing {
              margin-top: 30px;
            }
          </style>

          <div style=""display: flex; align-items: center;"">
            <div style=""flex: 1; padding-right: 20px;"">
              <div class=""quote-box"">
                <p>This is called <strong>Fon</strong>.</p>
                <img src=""stimuli/drawer.png"" class=""stimuli-image"">
              </div>

              <p style=""text-align: center;"">What is this called?</p>

              <div class=""quote-box"">
                <img src=""stimuli/warddrobe.jpg"" class=""stimuli-image"">
              </div>

              <div class=""button-spacing""></div>
            </div>

            <div style=""flex-shrink: 0; width: 180px; height: 250px; display: flex; align-items: center; justify-content: center;"">
            <img src=""interlocutor/child_male_02.png"" style=""width: 100%; height: 100%; object-fit: contain;"" />
            </div>
        ","0","false","Fonrik","Fon","[""Fonrik"",""Fonrul""]","rik","male","front","false","false","true","","","",""
"","","","","","html-keyboard-response","4","21006","0.0-4.0","view","long","none","","null","<div style=""font-size: 48px;"">+</div>","null","","","","","","","","true","","","","","",""
"","","","","","html-button-response","5","25124","0.0-5.0-0.0","view","long","none","","4116","
          <style>
            .quote-box {
              border: 2px solid #ccc;
              padding: 16px;
              margin: 20px auto;
              border-radius: 8px;
              background-color: #ffffff;
              text-align: center;
            }
            .stimuli-image {
              display: block;
              margin: 10px auto;
              max-height: 150px;
            }
            .button-spacing {
              margin-top: 30px;
            }
          </style>

          <div style=""display: flex; align-items: center;"">
            <div style=""flex: 1; padding-right: 20px;"">
              <div class=""quote-box"">
                <p>This is called <strong>Ibo</strong>.</p>
                <img src=""stimuli/daisy_adult.png"" class=""stimuli-image"">
              </div>

              <p style=""text-align: center;"">What is this called?</p>

              <div class=""quote-box"">
                <img src=""stimuli/daisy_small.png"" class=""stimuli-image"">
              </div>

              <div class=""button-spacing""></div>
            </div>

            <div style=""flex-shrink: 0; width: 180px; height: 250px; display: flex; align-items: center; justify-content: center;"">
            <img src=""interlocutor/child_male_02.png"" style=""width: 100%; height: 100%; object-fit: contain;"" />
            </div>
        ","1","false","Iborik","Ibo","[""Iborik"",""Iborul""]","rik","male","front","false","false","false","","","",""
"","","","","","html-keyboard-response","6","26127","0.0-5.0-1.0-0.0","view","long","none","","null","<p style='color:red; font-size: 24px;'>Incorrect! Please try again.</p>","null","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","27035","0.0-5.1-0.1","view","long","none","","907","
          <style>
            .quote-box {
              border: 2px solid #ccc;
              padding: 16px;
              margin: 20px auto;
              border-radius: 8px;
              background-color: #ffffff;
              text-align: center;
            }
            .stimuli-image {
              display: block;
              margin: 10px auto;
              max-height: 150px;
            }
            .button-spacing {
              margin-top: 30px;
            }
          </style>

          <div style=""display: flex; align-items: center;"">
            <div style=""flex: 1; padding-right: 20px;"">
              <div class=""quote-box"">
                <p>This is called <strong>Ibo</strong>.</p>
                <img src=""stimuli/daisy_adult.png"" class=""stimuli-image"">
              </div>

              <p style=""text-align: center;"">What is this called?</p>

              <div class=""quote-box"">
                <img src=""stimuli/daisy_small.png"" class=""stimuli-image"">
              </div>

              <div class=""button-spacing""></div>
            </div>

            <div style=""flex-shrink: 0; width: 180px; height: 250px; display: flex; align-items: center; justify-content: center;"">
            <img src=""interlocutor/child_male_02.png"" style=""width: 100%; height: 100%; object-fit: contain;"" />
            </div>
        ","0","false","Iborik","Ibo","[""Iborik"",""Iborul""]","rik","male","front","false","false","true","","","",""
"","","","","","html-keyboard-response","8","27536","0.0-6.0","view","long","none","","null","<div style=""font-size: 48px;"">+</div>","null","","","","","","","","true","","","","","",""
"","","","","","html-button-response","9","30099","0.0-7.0-0.0","view","long","none","","2562","
          <style>
            .quote-box {
              border: 2px solid #ccc;
              padding: 16px;
              margin: 20px auto;
              border-radius: 8px;
              background-color: #ffffff;
              text-align: center;
            }
            .stimuli-image {
              display: block;
              margin: 10px auto;
              max-height: 150px;
            }
            .button-spacing {
              margin-top: 30px;
            }
          </style>

          <div style=""display: flex; align-items: center;"">
            <div style=""flex: 1; padding-right: 20px;"">
              <div class=""quote-box"">
                <p>This is called <strong>Fob</strong>.</p>
                <img src=""stimuli/bear_adult_male_01.png"" class=""stimuli-image"">
              </div>

              <p style=""text-align: center;"">What is this called?</p>

              <div class=""quote-box"">
                <img src=""stimuli/bear_child_01.png"" class=""stimuli-image"">
              </div>

              <div class=""button-spacing""></div>
            </div>

            <div style=""flex-shrink: 0; width: 180px; height: 250px; display: flex; align-items: center; justify-content: center;"">
            <img src=""interlocutor/child_male_side.png"" style=""width: 100%; height: 100%; object-fit: contain;"" />
            </div>
        ","0","false","Fobrul","Fob","[""Fobrik"",""Fobrul""]","rul","male","side","false","false","false","","","",""
